epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1028,1.59234,3.88434,1.48931,0.56132,0.32152,0.15021,0.1262,0.7392,3.5874,0.83785,8.671e-05,8.671e-05,8.671e-05
2,48.7757,1.29227,2.42075,1.32071,0.13875,0.60241,0.19759,0.16423,0.63976,2.43487,0.81631,0.000179199,0.000179199,0.000179199
3,80.2219,1.12445,1.92621,1.20141,0.28854,0.51413,0.288,0.23595,0.70337,3.34535,0.82053,0.000270763,0.000270763,0.000270763
4,109.079,1.00438,1.63836,1.1459,0.4157,0.6415,0.46918,0.37995,0.74105,3.0062,0.82776,0.000361402,0.000361402,0.000361402
5,144.79,0.96703,1.49325,1.13181,0.41293,0.55919,0.45758,0.38798,0.60074,2.44415,0.80612,0.000451117,0.000451117,0.000451117
6,197.404,0.99437,1.37687,1.1241,0.17106,0.38011,0.21492,0.16946,0.78434,3.55831,0.82885,0.000539908,0.000539908,0.000539908
7,233.976,0.95491,1.34198,1.12899,0.50679,0.70542,0.69381,0.56911,0.68493,1.44617,0.81583,0.000627774,0.000627774,0.000627774
8,277.993,1.01481,1.27745,1.15824,0.58525,0.77116,0.81007,0.69787,0.58114,1.04627,0.80277,0.000643888,0.000643888,0.000643888
9,316.041,1.02368,1.23466,1.15756,0.65164,0.6845,0.73938,0.60638,0.6892,1.22355,0.8187,0.000640587,0.000640587,0.000640587
10,353.506,1.02899,1.17832,1.16053,0.67426,0.79624,0.80974,0.68166,0.59849,1.04853,0.80398,0.000637285,0.000637285,0.000637285
11,391.824,0.95413,1.07644,1.12134,0.70365,0.85062,0.8663,0.71817,0.64999,0.90437,0.81042,0.000633983,0.000633983,0.000633983
12,434.749,0.89961,1.00638,1.11459,0.85518,0.8756,0.94385,0.79401,0.64122,0.63597,0.80988,0.000630682,0.000630682,0.000630682
13,478.292,0.92334,0.99835,1.1227,0.92318,0.95131,0.98128,0.83941,0.58623,0.49328,0.80185,0.00062738,0.00062738,0.00062738
14,543.412,0.91779,0.92407,1.07974,0.91395,0.93202,0.98354,0.82324,0.64558,0.49025,0.80922,0.000624079,0.000624079,0.000624079
15,589.111,0.921,0.98154,1.13253,0.92839,0.93636,0.98155,0.82551,0.63648,0.50803,0.80819,0.000620777,0.000620777,0.000620777
16,629.763,0.86649,0.88612,1.09165,0.94162,0.95834,0.98251,0.83492,0.59198,0.45013,0.80372,0.000617475,0.000617475,0.000617475
17,675.458,0.86196,0.86952,1.10173,0.98006,0.97936,0.99331,0.84518,0.59435,0.38058,0.80382,0.000614174,0.000614174,0.000614174
18,728.194,0.91487,0.90606,1.126,0.96524,0.94598,0.98577,0.83365,0.60749,0.43736,0.80375,0.000610872,0.000610872,0.000610872
19,770.399,0.83328,0.81277,1.08302,0.98589,0.9834,0.99369,0.85051,0.59203,0.41369,0.80281,0.00060757,0.00060757,0.00060757
20,812.298,0.84753,0.8122,1.09018,0.95394,0.98052,0.9919,0.83898,0.60909,0.44084,0.80375,0.000604269,0.000604269,0.000604269
21,861.4,0.82902,0.80026,1.07058,0.98206,0.98565,0.99345,0.86371,0.55304,0.38313,0.79565,0.000600967,0.000600967,0.000600967
22,914.343,0.81774,0.76367,1.06471,0.97839,0.98169,0.99414,0.8204,0.68558,0.39497,0.81426,0.000597665,0.000597665,0.000597665
23,965.54,0.8324,0.77261,1.06967,0.98884,0.98216,0.99471,0.83723,0.629,0.38069,0.80669,0.000594364,0.000594364,0.000594364
24,1020.32,0.81552,0.74677,1.05877,0.99287,0.98874,0.99476,0.85091,0.59344,0.35694,0.80291,0.000591062,0.000591062,0.000591062
25,1058.87,0.7956,0.73615,1.04936,0.99399,0.99348,0.99495,0.84372,0.6247,0.34381,0.80986,0.00058776,0.00058776,0.00058776
26,1122,0.80179,0.71961,1.05721,0.99226,0.99383,0.99494,0.84557,0.60801,0.33484,0.80303,0.000584459,0.000584459,0.000584459
27,1177.6,0.78491,0.69298,1.04023,0.9662,0.9828,0.99388,0.83288,0.64833,0.36721,0.80898,0.000581157,0.000581157,0.000581157
28,1228.5,0.81792,0.7356,1.07907,0.98988,0.99173,0.99495,0.83474,0.62404,0.34153,0.80589,0.000577855,0.000577855,0.000577855
29,1281.52,0.80886,0.7489,1.08053,0.98669,0.98723,0.99417,0.8576,0.55181,0.33604,0.79902,0.000574554,0.000574554,0.000574554
30,1356.03,0.82851,0.74889,1.08843,0.98882,0.97976,0.99372,0.85578,0.56579,0.33458,0.80029,0.000571252,0.000571252,0.000571252
31,1401.03,0.82335,0.74879,1.08615,0.98264,0.98229,0.99368,0.84036,0.61542,0.34361,0.80545,0.00056795,0.00056795,0.00056795
32,1453.2,0.80224,0.70254,1.04819,0.97185,0.98514,0.99426,0.85962,0.56822,0.34097,0.80286,0.000564649,0.000564649,0.000564649
33,1502.14,0.80815,0.68684,1.04927,0.97285,0.98546,0.99381,0.85464,0.56824,0.33467,0.80237,0.000561347,0.000561347,0.000561347
34,1567.69,0.77693,0.69341,1.05067,0.99102,0.99288,0.99475,0.86677,0.53859,0.31657,0.79706,0.000558046,0.000558046,0.000558046
35,1609.89,0.75175,0.64076,1.02254,0.988,0.99047,0.99467,0.86498,0.54091,0.31435,0.79652,0.000554744,0.000554744,0.000554744
36,1651.12,0.81992,0.71756,1.07461,0.99221,0.98928,0.99453,0.85183,0.60171,0.32925,0.80266,0.000551442,0.000551442,0.000551442
37,1692.8,0.7734,0.66246,1.05412,0.98785,0.98953,0.9938,0.86772,0.53187,0.31662,0.79517,0.000548141,0.000548141,0.000548141
38,1762.2,0.80194,0.69758,1.04728,0.98153,0.98785,0.99351,0.84676,0.59239,0.32662,0.80208,0.000544839,0.000544839,0.000544839
39,1794.32,0.7283,0.63633,1.02968,0.99019,0.98916,0.9942,0.85797,0.55963,0.31063,0.79917,0.000541537,0.000541537,0.000541537
40,1837.98,0.75616,0.64561,1.02149,0.99258,0.99434,0.99437,0.85765,0.56426,0.30959,0.79854,0.000538236,0.000538236,0.000538236
41,1876.76,0.76616,0.66555,1.04072,0.9925,0.99606,0.99479,0.84644,0.60407,0.31482,0.80495,0.000534934,0.000534934,0.000534934
42,1917.03,0.8413,0.70237,1.09358,0.99345,0.9946,0.99485,0.87245,0.53587,0.29814,0.79437,0.000531632,0.000531632,0.000531632
43,1953.35,0.77257,0.64063,1.03131,0.99492,0.99274,0.99482,0.85202,0.58824,0.31027,0.80069,0.000528331,0.000528331,0.000528331
44,1997.8,0.75308,0.62971,1.01262,0.99626,0.99286,0.99484,0.85603,0.58123,0.30919,0.80018,0.000525029,0.000525029,0.000525029
45,2040.54,0.7727,0.64615,1.04192,0.99616,0.99436,0.99485,0.86466,0.55349,0.29293,0.79663,0.000521727,0.000521727,0.000521727
46,2091.43,0.80162,0.6623,1.0687,0.99434,0.99297,0.99451,0.85836,0.57557,0.30539,0.79813,0.000518426,0.000518426,0.000518426
47,2144.85,0.72695,0.60001,1.00295,0.99268,0.99708,0.9945,0.86392,0.55981,0.29212,0.79609,0.000515124,0.000515124,0.000515124
48,2200.09,0.75282,0.62897,1.03756,0.99148,0.99824,0.99451,0.86411,0.55864,0.29835,0.79686,0.000511822,0.000511822,0.000511822
49,2238.84,0.73652,0.603,1.02133,0.99165,0.99518,0.99475,0.87183,0.52842,0.28849,0.79276,0.000508521,0.000508521,0.000508521
50,2280.05,0.72354,0.60405,1.0217,0.99044,0.99244,0.99451,0.86517,0.54598,0.30051,0.7948,0.000505219,0.000505219,0.000505219
51,2324.51,0.70933,0.58769,1.01721,0.9833,0.99181,0.99438,0.86883,0.52492,0.30718,0.79258,0.000501917,0.000501917,0.000501917
52,2368.02,0.71826,0.59753,1.02244,0.99528,0.99522,0.99495,0.86192,0.55287,0.28135,0.79631,0.000498616,0.000498616,0.000498616
53,2411.42,0.71758,0.59214,1.01168,0.99625,0.99674,0.99498,0.86794,0.53916,0.2855,0.79295,0.000495314,0.000495314,0.000495314
54,2474.44,0.75814,0.60007,1.02368,0.9961,0.99638,0.995,0.86837,0.53717,0.28254,0.79368,0.000492013,0.000492013,0.000492013
55,2513.42,0.72755,0.61129,1.03125,0.9938,0.99635,0.99497,0.85492,0.57063,0.29617,0.79784,0.000488711,0.000488711,0.000488711
56,2556.66,0.68828,0.59309,1.00212,0.99464,0.99024,0.99499,0.85437,0.59191,0.30792,0.80251,0.000485409,0.000485409,0.000485409
57,2598.93,0.70131,0.58657,1.00949,0.97637,0.9917,0.99456,0.85686,0.56955,0.31427,0.80027,0.000482108,0.000482108,0.000482108
58,2651.27,0.71046,0.5821,1.01129,0.9729,0.9761,0.99099,0.86241,0.53852,0.33227,0.79558,0.000478806,0.000478806,0.000478806
59,2695.77,0.75449,0.62129,1.03694,0.97175,0.97948,0.99137,0.85918,0.56356,0.33014,0.79887,0.000475504,0.000475504,0.000475504
60,2730.99,0.71823,0.60095,1.02975,0.99368,0.98728,0.99454,0.85883,0.56102,0.30848,0.79662,0.000472203,0.000472203,0.000472203
61,2773.32,0.73897,0.58846,1.02975,0.99403,0.99917,0.995,0.86929,0.5354,0.28252,0.7952,0.000468901,0.000468901,0.000468901
62,2815.13,0.70162,0.59204,1.02833,0.99513,0.99682,0.99498,0.86698,0.54714,0.28504,0.79544,0.000465599,0.000465599,0.000465599
