epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5538,2.76555,8.99851,2.70514,0.0072,0.1,0.00558,0.00111,2.56166,9.7671,2.13182,0.00021671,0.00021671,0.00021671
2,48.7518,2.57853,5.93436,2.68117,0,0,0,0,4.03399,inf,3.85885,0.000445634,0.000445634,0.000445634
3,75.2942,2.56859,4.6065,2.71155,9e-05,0.025,5e-05,0,4.67265,658.405,5.13131,0.000669937,0.000669937,0.000669937
4,104.207,2.6953,4.21137,2.80505,0.00083,0.075,0.0007,0.00011,4.54567,251.241,4.52214,0.00088962,0.00088962,0.00088962
5,146.048,2.64297,3.94902,2.83212,0,0,0,0,5.08977,99.0577,8.09195,0.00110468,0.00110468,0.00110468
6,183.036,2.71075,4.20752,3.00191,0,0,0,0,4.89057,inf,11.0745,0.00131512,0.00131512,0.00131512
7,216.721,2.53869,3.63521,2.88491,0,0,0,0,4.90577,inf,6.51562,0.00152094,0.00152094,0.00152094
8,250.596,2.71212,3.9829,2.94902,0,0,0,0,5.4808,inf,168.911,0.00155148,0.00155148,0.00155148
9,287.162,2.423,3.67306,2.9201,0,0,0,0,6.27237,inf,820.236,0.00153497,0.00153497,0.00153497
10,323.662,2.84377,3.96003,3.17327,0,0,0,0,6.17519,1703.07,17.272,0.00151847,0.00151847,0.00151847
11,376.668,2.74431,3.67698,3.17078,0,0,0,0,5.90283,15.5173,7.00226,0.00150197,0.00150197,0.00150197
12,412.312,2.54198,3.66759,2.9163,0,0,0,0,5.6494,9.72608,5.5455,0.00148546,0.00148546,0.00148546
13,451.658,2.61519,3.76415,2.87868,0,0,0,0,5.74998,1351.2,30.5607,0.00146896,0.00146896,0.00146896
14,492.639,2.56575,3.72306,2.90337,0,0,0,0,4.28723,284.33,5.7097,0.00145246,0.00145246,0.00145246
15,536.783,2.18538,3.52111,2.59076,0,0,0,0,2.48619,248.453,1.71003,0.00143595,0.00143595,0.00143595
16,573.064,2.50112,3.64109,2.89243,0,0,0,0,5.41773,9.96159,7.12154,0.00141945,0.00141945,0.00141945
17,617.502,2.6813,3.58522,2.91535,0.00172,0.025,0.00173,0.00052,5.05598,5.02361,3.94172,0.00140295,0.00140295,0.00140295
18,658.013,2.20645,3.28345,2.76981,0,0,0,0,5.13248,5.74888,4.60501,0.00138644,0.00138644,0.00138644
19,696.533,2.11647,3.117,2.64376,0,0,0,0,5.18187,7.02167,4.74198,0.00136994,0.00136994,0.00136994
20,749.977,2.17661,3.15514,2.71675,0.00173,0.025,0.00096,0.0001,5.28981,6.11292,4.57234,0.00135344,0.00135344,0.00135344
21,791.275,2.36842,3.15676,2.83328,0.01471,0.025,0.01156,0.00231,5.31318,5.4756,4.77986,0.00133693,0.00133693,0.00133693
22,825.557,2.2009,3.05463,2.67145,0,0,0,0,5.21395,4.78932,5.06244,0.00132043,0.00132043,0.00132043
23,861.215,1.99384,2.95279,2.50861,0.00182,0.05,0.00131,0.00013,5.16721,4.75515,4.74451,0.00130393,0.00130393,0.00130393
24,898.592,2.10179,3.05665,2.6354,0.00339,0.175,0.00294,0.00039,4.82193,4.43446,4.35675,0.00128742,0.00128742,0.00128742
25,943.042,2.31495,3.31057,2.66888,0.00135,0.125,0.0015,0.00033,4.71784,4.36942,4.18325,0.00127092,0.00127092,0.00127092
26,990.009,2.2252,3.08078,2.66213,0.00045,0.05,0.00025,5e-05,4.95166,5.043,4.05064,0.00125442,0.00125442,0.00125442
27,1024.59,2.09608,3.01167,2.65343,0.00023,0.025,0.00015,4e-05,4.83212,4.49441,4.14489,0.00123791,0.00123791,0.00123791
