epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4878,2.74813,9.56544,2.04523,0.00042,0.125,0.00031,7e-05,2.96448,10.613,2.19423,0.00010002,0.00010002,0.00010002
2,24.2795,2.09752,6.4773,1.70912,0.43638,0.825,0.57244,0.27273,1.64223,7.47664,1.40547,0.000213849,0.000213849,0.000213849
3,41.4032,1.21298,2.42619,1.18003,0.82,0.75,0.83904,0.50273,1.26222,5.6999,1.31705,0.000324598,0.000324598,0.000324598
4,61.0074,1.24685,1.703,1.18867,0.82979,0.95,0.90801,0.57041,1.25527,4.9107,1.2641,0.000432266,0.000432266,0.000432266
5,78.1453,1.15896,1.33947,1.1423,0.45405,0.975,0.80941,0.5518,1.22248,4.44925,1.20908,0.000536854,0.000536854,0.000536854
6,96.6395,1.20974,1.1881,1.18538,0.53682,0.90226,0.83602,0.52421,1.20767,3.72612,1.22649,0.000638361,0.000638361,0.000638361
7,117.778,1.16481,1.04738,1.13945,0.56643,0.93481,0.75809,0.47417,1.41696,2.99769,1.43443,0.000736787,0.000736787,0.000736787
8,141.365,1.1929,0.93147,1.15553,0.65015,0.8531,0.87464,0.54227,1.29171,1.73022,1.34443,0.000832133,0.000832133,0.000832133
9,168.631,1.16552,0.90198,1.16674,0.69162,0.82285,0.95256,0.53717,1.36877,1.69711,1.33618,0.000924398,0.000924398,0.000924398
10,193.4,1.14641,0.82314,1.14985,0.51434,0.98276,0.82042,0.52912,1.29973,2.86208,1.35416,0.00101358,0.00101358,0.00101358
11,213.863,1.11828,0.81944,1.14054,0.5501,0.9477,0.86087,0.44251,1.5264,2.74659,1.48885,0.00109969,0.00109969,0.00109969
12,237.288,1.2005,0.77056,1.20304,0.65037,0.97998,0.94726,0.60011,1.2709,1.34141,1.34311,0.00118271,0.00118271,0.00118271
13,259.152,1.15061,0.74669,1.1601,0.87658,0.97197,0.98924,0.62606,1.25704,1.1421,1.29636,0.00126265,0.00126265,0.00126265
14,279.676,1.13977,0.72966,1.17155,0.86882,0.99278,0.93412,0.59697,1.19942,1.49381,1.257,0.00133951,0.00133951,0.00133951
15,298.348,1.08873,0.71356,1.15788,0.86457,0.775,0.87922,0.57653,1.12703,1.27289,1.29688,0.00135894,0.00135894,0.00135894
16,331.233,1.10661,0.71666,1.18567,0.89809,0.91393,0.93673,0.61439,1.16358,1.36997,1.31468,0.00133693,0.00133693,0.00133693
17,354.014,1.12573,0.68253,1.14391,0.90704,0.85087,0.91079,0.59649,1.1783,1.22005,1.32343,0.00131493,0.00131493,0.00131493
18,377.31,1.08005,0.64091,1.13875,0.87748,0.925,0.92981,0.58896,1.21029,1.40525,1.29718,0.00129293,0.00129293,0.00129293
19,401.528,1.04457,0.62524,1.12696,0.82713,0.98974,0.92904,0.66313,1.08062,1.26316,1.19919,0.00127092,0.00127092,0.00127092
20,435.278,1.14072,0.65191,1.12483,0.97587,0.97392,0.9831,0.66095,1.18696,1.22245,1.24809,0.00124892,0.00124892,0.00124892
21,458.114,1.09878,0.61402,1.16106,0.83439,0.89319,0.94239,0.6472,1.12335,1.14968,1.20592,0.00122691,0.00122691,0.00122691
22,481.982,1.08551,0.619,1.13537,0.94359,0.93595,0.995,0.67398,1.21755,1.28915,1.36366,0.00120491,0.00120491,0.00120491
23,505.111,1.05604,0.608,1.09367,0.96518,0.95,0.96757,0.59193,1.28475,1.05501,1.26555,0.0011829,0.0011829,0.0011829
24,540.214,1.07769,0.60236,1.11029,0.95437,0.99594,0.99045,0.63259,1.17159,0.89224,1.21932,0.0011609,0.0011609,0.0011609
25,562.755,1.01318,0.59322,1.08816,0.98415,1,0.995,0.66241,1.18268,0.6025,1.24555,0.00113889,0.00113889,0.00113889
26,582.356,1.04038,0.58272,1.1162,0.97291,1,0.995,0.69897,1.0718,0.5702,1.16894,0.00111689,0.00111689,0.00111689
27,606.849,0.97456,0.57921,1.10297,0.95328,0.95,0.97923,0.68775,1.11778,0.64244,1.18436,0.00109489,0.00109489,0.00109489
28,640.87,1.0106,0.55699,1.09803,0.95442,1,0.995,0.68622,1.09355,0.77554,1.16546,0.00107288,0.00107288,0.00107288
29,662.144,0.978,0.54275,1.0639,0.94785,0.95,0.9827,0.67245,1.08232,0.78018,1.16234,0.00105088,0.00105088,0.00105088
30,682.868,0.98908,0.53886,1.09293,0.91482,1,0.995,0.65524,1.20012,0.67899,1.24495,0.00102887,0.00102887,0.00102887
31,702.649,1.01291,0.55126,1.10901,0.99258,1,0.995,0.67008,1.16679,0.58443,1.2384,0.00100687,0.00100687,0.00100687
32,735.126,1.00657,0.55417,1.05022,0.97068,0.99066,0.97833,0.68468,1.09744,0.56018,1.17041,0.000984864,0.000984864,0.000984864
33,757.96,0.97906,0.52922,1.11501,0.97096,1,0.99381,0.7154,1.01085,0.54162,1.1469,0.000962859,0.000962859,0.000962859
34,779,0.92575,0.52859,1.07004,0.99238,0.99634,0.995,0.68609,1.06796,0.53297,1.17142,0.000940855,0.000940855,0.000940855
35,808.191,0.96893,0.51537,1.07524,0.9945,0.99903,0.995,0.68508,1.06586,0.51355,1.15536,0.00091885,0.00091885,0.00091885
36,838.676,0.96003,0.54576,1.0851,0.99514,1,0.995,0.69179,1.04696,0.53144,1.14552,0.000896846,0.000896846,0.000896846
37,860.107,0.92347,0.51764,1.06276,0.99531,1,0.995,0.70785,0.99532,0.50732,1.12979,0.000874842,0.000874842,0.000874842
38,883.28,0.94997,0.51256,1.05427,0.99028,1,0.995,0.6971,1.0483,0.50107,1.15706,0.000852837,0.000852837,0.000852837
39,912.415,0.95581,0.51484,1.05892,0.9691,1,0.995,0.74589,0.95693,0.51464,1.07265,0.000830833,0.000830833,0.000830833
40,943.055,0.92784,0.51012,1.01109,0.98838,1,0.995,0.72969,1.0165,0.51559,1.10132,0.000808828,0.000808828,0.000808828
41,964.138,0.94073,0.508,1.05551,0.99284,1,0.995,0.71353,1.03576,0.50038,1.112,0.000786824,0.000786824,0.000786824
42,982.601,0.88035,0.48802,1.02779,0.99218,1,0.995,0.72047,1.01153,0.49387,1.1235,0.00076482,0.00076482,0.00076482
43,1006.34,0.83055,0.46731,1.00338,0.99144,1,0.995,0.74587,0.97184,0.49732,1.11627,0.000742815,0.000742815,0.000742815
44,1039.09,0.8831,0.47023,1.03377,0.99536,1,0.995,0.7464,0.96408,0.47492,1.13144,0.000720811,0.000720811,0.000720811
45,1059.08,0.88406,0.47299,1.01652,0.99353,1,0.995,0.74633,0.95297,0.47361,1.12449,0.000698806,0.000698806,0.000698806
46,1078.99,0.86131,0.47869,1.02127,0.99249,1,0.995,0.74659,0.91524,0.45194,1.0753,0.000676802,0.000676802,0.000676802
47,1098.29,0.82693,0.45997,0.99377,0.99418,1,0.995,0.72635,0.97266,0.45294,1.09238,0.000654798,0.000654798,0.000654798
48,1126.81,0.83334,0.47432,1.00267,0.99461,1,0.995,0.73507,0.9838,0.44771,1.12124,0.000632793,0.000632793,0.000632793
49,1150.34,0.84307,0.47312,1.01356,0.99393,1,0.995,0.75594,0.95509,0.43873,1.12187,0.000610789,0.000610789,0.000610789
50,1173.01,0.83126,0.46419,1.02695,0.96942,1,0.99262,0.73414,0.93059,0.43218,1.10771,0.000588784,0.000588784,0.000588784
51,1207.31,0.85238,0.45726,1.01839,0.99694,0.9912,0.995,0.72352,0.94373,0.44578,1.11803,0.00056678,0.00056678,0.00056678
52,1241.55,0.84757,0.44728,1.00843,0.99415,1,0.995,0.71919,0.91395,0.45483,1.09609,0.000544776,0.000544776,0.000544776
53,1264.5,0.83359,0.47254,1.00262,0.99445,1,0.995,0.72763,0.92511,0.46344,1.085,0.000522771,0.000522771,0.000522771
54,1289.49,0.8897,0.47873,1.01402,0.98213,1,0.995,0.75435,0.95307,0.43029,1.07658,0.000500767,0.000500767,0.000500767
55,1319.95,0.86486,0.46057,1.02979,0.99507,1,0.995,0.77852,0.88141,0.3926,1.06417,0.000478762,0.000478762,0.000478762
56,1353.16,0.80273,0.44129,1.01496,0.99395,1,0.995,0.76809,0.91815,0.39742,1.10078,0.000456758,0.000456758,0.000456758
57,1374.4,0.86201,0.42998,1.023,0.96944,1,0.99381,0.74824,0.91881,0.4048,1.09775,0.000434754,0.000434754,0.000434754
58,1394.93,0.86133,0.42888,1.02228,0.96883,1,0.99262,0.76578,0.88906,0.41295,1.08312,0.000412749,0.000412749,0.000412749
59,1412.05,0.7909,0.42085,0.9896,0.96975,1,0.99381,0.76525,0.87619,0.41492,1.08256,0.000390745,0.000390745,0.000390745
60,1447.53,0.81423,0.43274,0.99101,0.96851,1,0.99381,0.75715,0.90508,0.42328,1.0903,0.00036874,0.00036874,0.00036874
61,1469.17,0.88529,0.43802,1.02238,0.96919,1,0.99381,0.76661,0.89067,0.42062,1.08689,0.000346736,0.000346736,0.000346736
62,1493.13,0.7584,0.40803,0.97121,0.97022,1,0.99143,0.7734,0.90991,0.41013,1.09575,0.000324732,0.000324732,0.000324732
63,1525.76,0.79318,0.42337,1.00147,0.97263,1,0.995,0.75627,0.9512,0.42285,1.11,0.000302727,0.000302727,0.000302727
64,1558.88,0.80323,0.42951,1.02086,0.9782,1,0.995,0.78274,0.89375,0.41182,1.08848,0.000280723,0.000280723,0.000280723
65,1583.65,0.7508,0.4027,0.99781,0.97136,1,0.99381,0.79429,0.87072,0.41084,1.07467,0.000258718,0.000258718,0.000258718
66,1644.7,0.76135,0.42107,0.96174,0.9725,1,0.99262,0.7996,0.86499,0.40101,1.06283,0.000236714,0.000236714,0.000236714
67,1665.95,0.79159,0.43434,0.99818,0.97131,1,0.99262,0.77898,0.88832,0.41654,1.06416,0.00021471,0.00021471,0.00021471
68,1693.23,0.80018,0.42604,0.99334,0.97205,1,0.99143,0.77654,0.89112,0.40792,1.07007,0.000192705,0.000192705,0.000192705
69,1715.19,0.77278,0.42764,0.98916,0.97221,1,0.99143,0.78798,0.88481,0.40435,1.07683,0.000170701,0.000170701,0.000170701
70,1737.39,0.77114,0.40961,0.97248,0.9719,1,0.99143,0.80164,0.88061,0.40581,1.08483,0.000148696,0.000148696,0.000148696
71,1765.94,0.73116,0.40103,0.96784,0.97095,1,0.99024,0.80232,0.86399,0.41092,1.07689,0.000126692,0.000126692,0.000126692
72,1796.62,0.74115,0.41283,0.95011,0.97095,1,0.99143,0.80182,0.85816,0.41125,1.07403,0.000104688,0.000104688,0.000104688
73,1815.2,0.72501,0.40546,0.97404,0.9715,1,0.99143,0.79353,0.85833,0.40758,1.07314,8.26832e-05,8.26832e-05,8.26832e-05
74,1833.5,0.71981,0.39721,0.97081,0.97204,1,0.99143,0.79484,0.85808,0.40844,1.07293,6.06788e-05,6.06788e-05,6.06788e-05
75,1851.6,0.74157,0.40469,0.9547,0.97284,1,0.99381,0.78851,0.86239,0.40587,1.07281,3.86744e-05,3.86744e-05,3.86744e-05
