epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7492,1.83475,4.79652,1.0795,0.00434,0.00083,0.00222,0.00171,0.99461,4.7211,0.92419,2.502e-05,2.502e-05,2.502e-05
2,21.6495,0.93982,3.9226,0.88692,0.24822,0.14527,0.0598,0.0456,0.89194,3.00991,0.80321,5.31366e-05,5.31366e-05,5.31366e-05
3,31.2853,0.8,2.79845,0.84588,0.46876,0.17831,0.17164,0.13601,0.71087,3.5098,0.78256,8.00974e-05,8.00974e-05,8.00974e-05
4,40.594,0.6751,1.9461,0.83069,0.50736,0.37151,0.36986,0.30011,0.64089,2.96475,0.7801,0.000105902,0.000105902,0.000105902
5,50.4979,0.67091,1.39996,0.8164,0.59699,0.48064,0.52424,0.43936,0.62668,1.66775,0.78138,0.000130551,0.000130551,0.000130551
6,61.753,0.61114,1.00828,0.81549,0.64576,0.56828,0.62619,0.52181,0.59072,1.50371,0.77662,0.000154044,0.000154044,0.000154044
7,72.3664,0.56512,0.77447,0.80915,0.64974,0.79032,0.74527,0.63321,0.5749,1.21779,0.77454,0.000176381,0.000176381,0.000176381
8,83.5111,0.54712,0.63242,0.80063,0.67684,0.83217,0.79448,0.68198,0.55704,1.10573,0.77401,0.000197562,0.000197562,0.000197562
9,94.3274,0.52979,0.56465,0.80098,0.74468,0.93109,0.88306,0.76126,0.53624,0.80293,0.77273,0.000217587,0.000217587,0.000217587
10,104.82,0.52522,0.51291,0.79877,0.82921,0.9243,0.92302,0.7987,0.51963,0.64183,0.77213,0.000236457,0.000236457,0.000236457
11,115.729,0.52171,0.48193,0.79707,0.84631,0.95651,0.95489,0.82113,0.5327,0.54548,0.77415,0.00025417,0.00025417,0.00025417
12,127.8,0.52989,0.46449,0.79834,0.90831,0.96206,0.97851,0.84911,0.51855,0.48284,0.77412,0.000270727,0.000270727,0.000270727
13,141.433,0.52265,0.43658,0.80307,0.95076,0.95987,0.98799,0.85974,0.50262,0.4309,0.77241,0.000286129,0.000286129,0.000286129
14,153.548,0.50791,0.40299,0.79716,0.9409,0.97492,0.98185,0.85019,0.51259,0.38649,0.77093,0.000300374,0.000300374,0.000300374
15,166.708,0.51151,0.38533,0.79671,0.96192,0.9857,0.98761,0.85759,0.49684,0.3754,0.77073,0.000301408,0.000301408,0.000301408
16,180.383,0.50483,0.37539,0.79654,0.96417,0.96944,0.982,0.85176,0.52766,0.42492,0.77277,0.000293151,0.000293151,0.000293151
17,193.432,0.51222,0.37932,0.79284,0.97121,0.98836,0.99025,0.86458,0.51004,0.42231,0.7725,0.000284894,0.000284894,0.000284894
18,206.462,0.48828,0.361,0.79432,0.98513,0.98809,0.99465,0.87209,0.48818,0.35715,0.77015,0.000276638,0.000276638,0.000276638
19,219.177,0.51111,0.35126,0.79831,0.99,0.99411,0.99342,0.86822,0.49283,0.33903,0.76966,0.000268381,0.000268381,0.000268381
20,232.432,0.49143,0.33703,0.79372,0.98372,0.99412,0.99342,0.87131,0.48488,0.33688,0.77039,0.000260125,0.000260125,0.000260125
21,244.915,0.51154,0.34495,0.79602,0.98272,0.9942,0.99452,0.87009,0.49064,0.35596,0.77074,0.000251868,0.000251868,0.000251868
22,257.527,0.48828,0.33873,0.79129,0.98417,0.98754,0.99452,0.86639,0.50304,0.36082,0.77017,0.000243611,0.000243611,0.000243611
23,269.97,0.47966,0.3329,0.78894,0.99083,0.99647,0.995,0.87459,0.48006,0.33602,0.76881,0.000235355,0.000235355,0.000235355
24,281.819,0.48605,0.32591,0.79351,0.99069,0.99486,0.995,0.87736,0.47618,0.31106,0.76858,0.000227098,0.000227098,0.000227098
25,294.16,0.47672,0.3211,0.78646,0.99012,0.99575,0.995,0.87644,0.48325,0.31549,0.76839,0.000218842,0.000218842,0.000218842
26,306.73,0.51047,0.33224,0.79257,0.99422,0.99854,0.995,0.87057,0.50513,0.32992,0.77039,0.000210585,0.000210585,0.000210585
27,320.618,0.49088,0.32339,0.78887,0.99531,0.9988,0.995,0.87218,0.47838,0.3355,0.76959,0.000202328,0.000202328,0.000202328
28,335.194,0.4896,0.32005,0.7902,0.99438,0.84848,0.86054,0.75356,0.48053,0.31532,0.76882,0.000194072,0.000194072,0.000194072
29,350.954,0.47371,0.31237,0.7913,0.99346,0.94849,0.95084,0.83593,0.47166,0.30232,0.76807,0.000185815,0.000185815,0.000185815
30,366.613,0.46816,0.30205,0.79325,0.99322,0.99756,0.995,0.87961,0.4633,0.2803,0.76795,0.000177559,0.000177559,0.000177559
31,382.171,0.48331,0.29933,0.79194,0.99495,0.94982,0.95082,0.84433,0.46722,0.28484,0.76848,0.000169302,0.000169302,0.000169302
32,398.843,0.46874,0.29864,0.78409,0.9956,0.95,0.95088,0.84729,0.47457,0.29486,0.76835,0.000161045,0.000161045,0.000161045
33,415.813,0.46615,0.30157,0.79151,0.99555,0.9498,0.95089,0.84475,0.472,0.29259,0.76812,0.000152789,0.000152789,0.000152789
34,432.209,0.49661,0.30474,0.79031,0.99401,0.84839,0.86072,0.76495,0.46113,0.29643,0.76776,0.000144532,0.000144532,0.000144532
35,448.017,0.47123,0.29765,0.78867,0.99282,0.84947,0.86063,0.76148,0.47628,0.28933,0.76856,0.000136276,0.000136276,0.000136276
36,464.23,0.48772,0.30507,0.78977,0.99264,1,0.995,0.88307,0.46439,0.28023,0.76844,0.000128019,0.000128019,0.000128019
37,480.346,0.47583,0.29117,0.79634,0.9939,0.89991,0.90587,0.80902,0.46333,0.27692,0.76855,0.000119762,0.000119762,0.000119762
38,496.408,0.44773,0.28903,0.78587,0.99562,0.99894,0.995,0.88535,0.45879,0.27221,0.76824,0.000111506,0.000111506,0.000111506
39,513.751,0.45869,0.28964,0.78455,0.99548,0.99428,0.99488,0.88283,0.45607,0.27661,0.76808,0.000103249,0.000103249,0.000103249
40,528.301,0.44847,0.27993,0.78922,0.99614,0.99905,0.995,0.88741,0.45525,0.26777,0.76753,9.49926e-05,9.49926e-05,9.49926e-05
41,543.485,0.45209,0.28759,0.79073,0.99669,0.9996,0.995,0.88388,0.46239,0.26861,0.76712,8.6736e-05,8.6736e-05,8.6736e-05
42,557.597,0.45771,0.28996,0.784,0.99562,0.84845,0.8604,0.76324,0.46671,0.28132,0.76658,7.84794e-05,7.84794e-05,7.84794e-05
43,571.466,0.44071,0.2844,0.78286,0.99574,0.8484,0.86038,0.76504,0.4587,0.28326,0.76603,7.02228e-05,7.02228e-05,7.02228e-05
44,584.895,0.43648,0.27999,0.78463,0.99602,0.94756,0.95071,0.84626,0.45737,0.27288,0.76546,6.19662e-05,6.19662e-05,6.19662e-05
45,598.526,0.44673,0.27295,0.78547,0.99506,0.99763,0.995,0.88442,0.45924,0.2705,0.76518,5.37096e-05,5.37096e-05,5.37096e-05
46,612.16,0.44497,0.27143,0.77846,0.99482,0.9977,0.995,0.88304,0.45898,0.26945,0.76476,4.5453e-05,4.5453e-05,4.5453e-05
47,624.154,0.43215,0.26632,0.78437,0.99514,0.9979,0.995,0.88366,0.45608,0.2679,0.76458,3.71964e-05,3.71964e-05,3.71964e-05
